image_id,family,severity,gradient_cosine,delta_det_linear,det_loss_delta_sem1
23034,gamma,1,0.6138197779655457,-0.00042349738707225657,0.017680257558822632
23034,gamma,2,0.8247821927070618,-0.0005466406900307682,0.001139312982559204
23034,contrast,1,0.43388253450393677,-0.0007288556583145002,-0.0022739768028259277
23034,contrast,2,0.47292017936706543,-0.0019608801131139244,0.004714071750640869
23034,color_cast,1,0.757745623588562,-0.0008093090190001182,0.0021708905696868896
23034,color_cast,2,0.5845426321029663,-0.0006487756113761115,-0.006537348031997681
23272,gamma,1,-0.7789756059646606,0.0031068794883778116,0.02692049741744995
23272,gamma,2,-0.8160172700881958,0.001864390855155386,0.030865252017974854
23272,contrast,1,-0.4270784258842468,0.0006729364030385165,-0.004533559083938599
23272,contrast,2,-0.22836162149906158,0.0022071872406889278,0.005170151591300964
23272,color_cast,1,0.0950261726975441,-0.0003499345349011333,-0.006669908761978149
23272,color_cast,2,-0.5671060085296631,0.0016890570049424966,-0.0037994682788848877
25181,gamma,1,0.04384836554527283,-0.00867749232661858,0.034699201583862305
25181,gamma,2,0.16507117450237274,-0.035957729796295516,0.007308006286621094
25181,contrast,1,0.3064867854118347,-0.014099401331249518,0.007842659950256348
25181,contrast,2,-0.8670389652252197,0.0599231816546397,0.04564082622528076
25181,color_cast,1,0.2196190357208252,-0.0031170481177557685,-0.004748821258544922
25181,color_cast,2,-0.1288948804140091,0.0009356246973688293,0.006463527679443359
25228,gamma,1,0.08878166228532791,-4.448315973522584e-05,0.022109881043434143
25228,gamma,2,-0.8467605710029602,0.0024276145769089666,-0.05613037943840027
25228,contrast,1,0.527988076210022,-0.00014969651913862754,0.004729971289634705
25228,contrast,2,-0.7697030901908875,0.001168075001404144,0.018872976303100586
25228,color_cast,1,-0.577501654624939,0.00018399749093499346,0.006169110536575317
25228,color_cast,2,-0.4833180904388428,0.0002764666694999366,0.027959704399108887
25394,gamma,1,0.6939424276351929,-0.003583289612295445,0.044439077377319336
25394,gamma,2,-0.08770160377025604,0.0006117555990326151,0.08084762096405029
25394,contrast,1,0.6128979921340942,-0.001649192175068547,-0.03040635585784912
25394,contrast,2,-0.22507397830486298,0.0016115865467446944,-0.005864858627319336
25394,color_cast,1,0.6560469269752502,-0.00032325549300166157,-0.0494462251663208
25394,color_cast,2,0.5094492435455322,-0.00024147135790449182,0.04313540458679199
25560,gamma,1,-0.8990756869316101,0.0015006624283942479,0.03125181794166565
25560,gamma,2,-0.7272401452064514,0.0009541800170638819,-0.005597352981567383
25560,contrast,1,0.8319672346115112,-0.0007060209423263948,-0.009076148271560669
25560,contrast,2,0.7700303196907043,-0.010366056057958338,0.022847920656204224
25560,color_cast,1,0.7295664548873901,-0.0004164940285833476,0.0014411509037017822
25560,color_cast,2,0.5238729119300842,-0.0007325761878378108,-0.00331994891166687
33221,gamma,1,0.27543237805366516,-0.0013046633582524988,-0.05879896879196167
33221,gamma,2,0.5901049375534058,-0.002394506808634518,0.06221359968185425
33221,contrast,1,0.28620368242263794,-0.0005088885679166839,-0.05553501844406128
33221,contrast,2,0.8717208504676819,-0.0033708184774428832,-0.07454705238342285
33221,color_cast,1,0.2753284275531769,-0.0005356015009738376,-0.07513177394866943
33221,color_cast,2,0.49378857016563416,-0.000690962744030113,-0.008374929428100586
33368,gamma,1,-0.9774739146232605,0.009528992006168958,-0.0070268213748931885
33368,gamma,2,-0.4802919924259186,0.002540332111583509,-0.001854628324508667
33368,contrast,1,-0.69650799036026,0.00621412236488873,0.04226556420326233
33368,contrast,2,-0.7159044742584229,0.004287966618066941,0.032532066106796265
33368,color_cast,1,0.5759653449058533,-0.006652777177046998,0.023033559322357178
33368,color_cast,2,0.619193434715271,-0.001804339118235747,-0.006934106349945068
39405,gamma,1,0.7210375070571899,-0.005617943722886777,-0.003983020782470703
39405,gamma,2,-0.6095156669616699,0.03904259986686495,0.5383930206298828
39405,contrast,1,-0.0001938084460562095,2.2517616709325645e-06,0.036490678787231445
39405,contrast,2,0.20510715246200562,-0.006118286675805715,0.06241750717163086
39405,color_cast,1,0.3849436044692993,-0.001158690244333656,0.019864916801452637
39405,color_cast,2,0.03427133336663246,-0.0001296613347897632,0.027419686317443848
40036,gamma,1,0.40146300196647644,-0.0013870975552547136,0.011451125144958496
40036,gamma,2,0.09092016518115997,-0.000422481150824898,-0.004948735237121582
40036,contrast,1,0.28710514307022095,-0.000831011065433527,0.010815918445587158
40036,contrast,2,0.6001431941986084,-0.0013041676286831923,0.011816680431365967
40036,color_cast,1,0.8284330368041992,-0.004123297449738418,-0.002034097909927368
40036,color_cast,2,0.05696400627493858,-0.00010856954434465462,-0.023838579654693604
42070,gamma,1,0.3813701570034027,-0.00029621222396431055,-0.02984541654586792
42070,gamma,2,0.40768319368362427,-0.00029779104732119204,0.010188698768615723
42070,contrast,1,0.23184774816036224,-0.002332407312538103,-0.009465336799621582
42070,contrast,2,-0.6950843334197998,0.019701937173969893,-0.0026504099369049072
42070,color_cast,1,-0.3940187394618988,9.399534270668218e-05,-0.007915884256362915
42070,color_cast,2,0.05577380210161209,-8.19439851905102e-05,0.00972411036491394
44260,gamma,1,-0.5271820425987244,0.005370568036890048,-0.0350075364112854
44260,gamma,2,-0.529358983039856,0.004094316262654665,-0.005300045013427734
44260,contrast,1,-0.09400695562362671,0.0010475555349307446,0.0013428926467895508
44260,contrast,2,0.27138078212738037,-0.009465937808068328,-0.016878962516784668
44260,color_cast,1,-0.7251827716827393,0.003086016616953142,0.010555744171142578
44260,color_cast,2,-0.18511870503425598,0.000931033916174372,-0.00386202335357666
46872,gamma,1,0.8355159163475037,-0.0010866575540372098,0.012492537498474121
46872,gamma,2,0.8184840083122253,-0.0008929596464865918,0.04767727851867676
46872,contrast,1,0.8819292783737183,-0.0033593465526201675,0.047555387020111084
46872,contrast,2,-0.008633541874587536,7.984619667000684e-06,-0.021572589874267578
46872,color_cast,1,-0.027904445305466652,3.1138477423574286e-05,-0.0029891133308410645
46872,color_cast,2,-0.31924235820770264,0.0005617194524984739,0.028657972812652588
50145,gamma,1,-0.16568715870380402,0.01508003160394973,-0.02475893497467041
50145,gamma,2,0.222665935754776,-0.02171404474272063,-0.045961856842041016
50145,contrast,1,0.8851815462112427,-0.009136084425679885,-7.355213165283203e-05
50145,contrast,2,0.8988151550292969,-0.004509144509112116,-0.0004850625991821289
50145,color_cast,1,0.8750141859054565,-0.010312967034299198,0.028303027153015137
50145,color_cast,2,0.8866312503814697,-0.0017101136326575302,-0.007473111152648926
51598,gamma,1,-0.05374876782298088,5.2576080723560966e-05,-0.0013905167579650879
51598,gamma,2,-0.5957556366920471,0.0010807983046473867,0.012203708291053772
51598,contrast,1,0.024534234777092934,-1.8819781552232868e-05,-0.007162719964981079
51598,contrast,2,-0.8918827772140503,0.0029793991372597662,0.000369340181350708
51598,color_cast,1,-0.6941233277320862,0.004355040524949304,0.028595328330993652
51598,color_cast,2,-0.7000485062599182,0.00721760004960185,0.017067819833755493
54593,gamma,1,0.781075119972229,-0.0035417315684386184,0.0565873384475708
54593,gamma,2,0.18726171553134918,-0.001067869276055562,0.01302558183670044
54593,contrast,1,-0.2537780702114105,0.0013012629005108942,-0.0029532313346862793
54593,contrast,2,-0.857370138168335,0.006518718640306677,0.0019741058349609375
54593,color_cast,1,0.17802491784095764,-0.0004965396892058733,-0.14086228609085083
54593,color_cast,2,0.19470196962356567,-0.000346933928273102,-0.04076993465423584
57725,gamma,1,-0.5265926122665405,0.00022310198152376284,0.010172156617045403
57725,gamma,2,-0.7439991235733032,0.0002790703301864778,0.002786632627248764
57725,contrast,1,0.11484763771295547,-3.069643594213469e-05,-0.004552045837044716
57725,contrast,2,-0.9097814559936523,0.00018281780930853368,0.0006874147802591324
57725,color_cast,1,0.3770321309566498,-6.809258661416315e-05,-0.0045830607414245605
57725,color_cast,2,-0.517532467842102,0.00010864818385388202,0.0045440346002578735
57760,gamma,1,-0.27808520197868347,0.00019146851948749225,0.04409390687942505
57760,gamma,2,0.5411818623542786,-0.0010790476504845797,-0.016260147094726562
57760,contrast,1,0.676072895526886,-0.0009192666620234342,0.018249094486236572
57760,contrast,2,0.9507445693016052,-0.021663043890534295,-0.05848515033721924
57760,color_cast,1,0.7771865129470825,-0.0008300859521613871,-0.0013625025749206543
57760,color_cast,2,0.34359875321388245,-0.0004817281293012366,-2.968311309814453e-05
58655,gamma,1,-0.20010632276535034,0.0003132988641773445,-0.005483776330947876
58655,gamma,2,-0.8699137568473816,0.0006835430909363327,-0.003083467483520508
58655,contrast,1,-0.5772551894187927,0.0008877177753666135,0.03363954275846481
58655,contrast,2,-0.9700626730918884,0.0003613778052764499,0.003753580152988434
58655,color_cast,1,-0.10117021948099136,8.751687235067181e-05,-0.007448211312294006
58655,color_cast,2,-0.7893855571746826,0.0005936314020841421,-0.005570702254772186
60090,gamma,1,0.20567014813423157,-0.00025080336020881814,0.01710522174835205
60090,gamma,2,0.3145643472671509,-0.0005277424010856018,0.014549016952514648
60090,contrast,1,-0.44524887204170227,0.0018741336493907843,-0.07256388664245605
60090,contrast,2,0.975633978843689,-0.004489530245380738,0.004382193088531494
60090,color_cast,1,-0.6779689788818359,0.001414620538646839,0.013216614723205566
60090,color_cast,2,-0.47184818983078003,0.000869828993775749,-0.02222156524658203
61268,gamma,1,-0.38974323868751526,0.006332331315977028,0.007699131965637207
61268,gamma,2,-0.34659528732299805,0.023912074010510043,0.043248653411865234
61268,contrast,1,0.6803357005119324,-0.009350425840718093,0.020584940910339355
61268,contrast,2,-0.28538262844085693,0.0074258180367321285,0.06927931308746338
61268,color_cast,1,0.05386264994740486,-0.00023609833865829294,0.03536975383758545
61268,color_cast,2,-0.1442086547613144,0.00044141949060142637,0.02267223596572876
63047,gamma,1,0.759274423122406,-0.004515119192488351,-0.005450308322906494
63047,gamma,2,0.4262664318084717,-0.0016958424136472286,-0.004448294639587402
63047,contrast,1,0.6594902873039246,-0.0017435893101492657,-0.05913853645324707
63047,contrast,2,-0.8993605971336365,0.004186482468869348,0.04836475849151611
63047,color_cast,1,0.9059516787528992,-0.0034298693997011835,0.01897507905960083
63047,color_cast,2,0.36094310879707336,-0.0006072119615269878,0.0458911657333374
63154,gamma,1,0.8659259080886841,-0.004833366720954135,0.00045228004455566406
63154,gamma,2,0.7713996171951294,-0.0035290562927481717,0.004194825887680054
63154,contrast,1,0.3952590227127075,-0.0006463827694744596,-0.033361971378326416
63154,contrast,2,0.3863790035247803,-0.0001966105882515479,0.014090403914451599
63154,color_cast,1,0.4680831730365753,-0.00022273837129314583,0.007570326328277588
63154,color_cast,2,-0.29712674021720886,0.00013825674106135528,-0.010302603244781494
65074,gamma,1,0.20544086396694183,-0.00013700970986677075,-0.002317875623703003
65074,gamma,2,0.48958221077919006,-0.0015011573209317579,-0.002686023712158203
65074,contrast,1,-0.924895167350769,0.0018473336111357735,0.0002606213092803955
65074,contrast,2,-0.38354191184043884,0.001837232093387075,-0.013256669044494629
