image_id,family,severity,gradient_cosine,det_loss_delta_sem1,g_sem_norm,g_det_norm
23034,gamma,1,0.6138197779655457,0.017680257558822632,0.08754000812768936,0.07881398499011993
23034,gamma,2,0.8247821927070618,0.001139312982559204,0.04356132820248604,0.1521463692188263
23034,contrast,1,0.43388253450393677,-0.0022739768028259277,0.06283630430698395,0.26733678579330444
23034,contrast,2,0.47292017936706543,0.004714071750640869,0.06786120682954788,0.6110005974769592
23034,color_cast,1,0.757745623588562,0.0021708905696868896,0.0484665110707283,0.22036832571029663
23034,color_cast,2,0.5845426321029663,-0.006537348031997681,0.05027694255113602,0.2207544595003128
23272,gamma,1,-0.7789756059646606,0.02692049741744995,0.06956436485052109,0.573341965675354
23272,gamma,2,-0.8160172700881958,0.030865252017974854,0.051869843155145645,0.4404764473438263
23272,contrast,1,-0.4270784258842468,-0.004533559083938599,0.09823425114154816,0.1603996753692627
23272,contrast,2,-0.22836162149906158,0.005170151591300964,0.25175049901008606,0.38392436504364014
23272,color_cast,1,0.0950261726975441,-0.006669908761978149,0.12372568994760513,0.2976347506046295
23272,color_cast,2,-0.5671060085296631,-0.0037994682788848877,0.17330345511436462,0.1718592345714569
25181,gamma,1,0.04384836554527283,0.034699201583862305,0.35978609323501587,5.500425338745117
25181,gamma,2,0.16507117450237274,0.007308006286621094,0.40115347504615784,5.4301323890686035
25181,contrast,1,0.3064867854118347,0.007842659950256348,0.08865047246217728,5.189289569854736
25181,contrast,2,-0.8670389652252197,0.04564082622528076,0.16122981905937195,4.286579608917236
25181,color_cast,1,0.2196190357208252,-0.004748821258544922,0.025280267000198364,5.614251613616943
25181,color_cast,2,-0.1288948804140091,0.006463527679443359,0.025023845955729485,2.900761604309082
25228,gamma,1,0.08878166228532791,0.022109881043434143,0.05460217595100403,0.09176189452409744
25228,gamma,2,-0.8467605710029602,-0.05613037943840027,0.109511598944664,0.2617935836315155
25228,contrast,1,0.527988076210022,0.004729971289634705,0.06513212621212006,0.04353037104010582
25228,contrast,2,-0.7697030901908875,0.018872976303100586,0.06316427141427994,0.24025696516036987
25228,color_cast,1,-0.577501654624939,0.006169110536575317,0.03959282487630844,0.08047151565551758
25228,color_cast,2,-0.4833180904388428,0.027959704399108887,0.06629271060228348,0.08628671616315842
25394,gamma,1,0.6939424276351929,0.044439077377319336,0.1387246549129486,0.3722243905067444
25394,gamma,2,-0.08770160377025604,0.08084762096405029,0.09853465855121613,0.7079154253005981
25394,contrast,1,0.6128979921340942,-0.03040635585784912,0.056680817157030106,0.47473037242889404
25394,contrast,2,-0.22507397830486298,-0.005864858627319336,0.03886369988322258,1.8424010276794434
25394,color_cast,1,0.6560469269752502,-0.0494462251663208,0.05845038965344429,0.0842992290854454
25394,color_cast,2,0.5094492435455322,0.04313540458679199,0.03809436038136482,0.12442396581172943
25560,gamma,1,-0.8990756869316101,0.03125181794166565,0.09706295281648636,0.17196230590343475
25560,gamma,2,-0.7272401452064514,-0.005597352981567383,0.06459175050258636,0.20313063263893127
25560,contrast,1,0.8319672346115112,-0.009076148271560669,0.06791724264621735,0.12494858354330063
25560,contrast,2,0.7700303196907043,0.022847920656204224,0.4680742621421814,0.28760138154029846
25560,color_cast,1,0.7295664548873901,0.0014411509037017822,0.04884932190179825,0.11686524003744125
25560,color_cast,2,0.5238729119300842,-0.00331994891166687,0.09074427932500839,0.15410177409648895
33221,gamma,1,0.27543237805366516,-0.05879896879196167,0.21009667217731476,0.2254572957754135
33221,gamma,2,0.5901049375534058,0.06221359968185425,0.18458732962608337,0.2198289930820465
33221,contrast,1,0.28620368242263794,-0.05553501844406128,0.08963310718536377,0.19837138056755066
33221,contrast,2,0.8717208504676819,-0.07454705238342285,0.155133917927742,0.24925918877124786
33221,color_cast,1,0.2753284275531769,-0.07513177394866943,0.12577512860298157,0.15466640889644623
33221,color_cast,2,0.49378857016563416,-0.008374929428100586,0.10392826795578003,0.13464179635047913
33368,gamma,1,-0.9774739146232605,-0.0070268213748931885,0.18613125383853912,0.5237480998039246
33368,gamma,2,-0.4802919924259186,-0.001854628324508667,0.1530955284833908,0.345479816198349
33368,contrast,1,-0.69650799036026,0.04226556420326233,0.07521004974842072,1.1862543821334839
33368,contrast,2,-0.7159044742584229,0.032532066106796265,0.09774496406316757,0.6127762794494629
33368,color_cast,1,0.5759653449058533,0.023033559322357178,0.11989878118038177,0.9633671641349792
33368,color_cast,2,0.619193434715271,-0.006934106349945068,0.06823988258838654,0.4270252585411072
39405,gamma,1,0.7210375070571899,-0.003983020782470703,0.1655699461698532,0.470584899187088
39405,gamma,2,-0.6095156669616699,0.5383930206298828,0.30001452565193176,2.1350674629211426
39405,contrast,1,-0.0001938084460562095,0.036490678787231445,0.09427764266729355,1.2323132753372192
39405,contrast,2,0.20510715246200562,0.06241750717163086,0.19339239597320557,1.5424449443817139
39405,color_cast,1,0.3849436044692993,0.019864916801452637,0.10907462984323502,0.27596020698547363
39405,color_cast,2,0.03427133336663246,0.027419686317443848,0.09149597585201263,0.4135018289089203
40036,gamma,1,0.40146300196647644,0.011451125144958496,0.09690730273723602,0.3565372824668884
40036,gamma,2,0.09092016518115997,-0.004948735237121582,0.1081726998090744,0.42956551909446716
40036,contrast,1,0.28710514307022095,0.010815918445587158,0.050479281693696976,0.5733932852745056
40036,contrast,2,0.6001431941986084,0.011816680431365967,0.028856860473752022,0.7530598044395447
40036,color_cast,1,0.8284330368041992,-0.002034097909927368,0.06507287919521332,0.7648692727088928
40036,color_cast,2,0.05696400627493858,-0.023838579654693604,0.0874001756310463,0.21806961297988892
42070,gamma,1,0.3813701570034027,-0.02984541654586792,0.06865270435810089,0.113135427236557
42070,gamma,2,0.40768319368362427,0.010188698768615723,0.06848721951246262,0.10665453970432281
42070,contrast,1,0.23184774816036224,-0.009465336799621582,0.11050912737846375,0.9103394150733948
42070,contrast,2,-0.6950843334197998,-0.0026504099369049072,0.28281906247138977,1.0022192001342773
42070,color_cast,1,-0.3940187394618988,-0.007915884256362915,0.06405525654554367,0.03724214434623718
42070,color_cast,2,0.05577380210161209,0.00972411036491394,0.2060568630695343,0.07130167633295059
44260,gamma,1,-0.5271820425987244,-0.0350075364112854,0.10400073975324631,0.9795423746109009
44260,gamma,2,-0.529358983039856,-0.005300045013427734,0.08729998767375946,0.8859656453132629
